"tag","region","position","pr","mvps","char1","char2","etc"
"AbeLit","🇺🇲","leader","","23","<:king_dedede:575804399847211052>"
"LéJose","🇺🇲","leader","","9","<:richter4:617471451641151518>","<:sonic5:617474213799919628>"
"SP","🇺🇲","leader","","0","<:banjo_and_kazooie:596831625765978131>"
"test","🇺🇲","leader","","13","<:mario:575804400140943381>","<:ike2:617461924137009172>"
"2cheapy","🇺🇲","advisor","","4","<:donkey_kong:575804398631124993>"
"<:pheesh:831402435280896010>","🇺🇲","advisor","","5","<:rob5:617471670386556930>","<:greninja8:617461360636329995>","<:mii_brawler:596831773338632202>"
"Abby","🇺🇲","advisor","","0","<:richter7:617471451842347034>"
"Adam M","🇺🇲","advisor","","0","<:banjo_and_kazooie:596831625765978131>"
"bebo","🇺🇲","advisor","","0","<:shulk8:617473172849164310>","<:bayonetta2:609627104400637952>","<:lucario:575804400136880142>"
"Chrocs","🇺🇲","advisor","","1","<:clouds:575804398496776192>","<:donkey_kong:575804398631124993>","<:zombie7:766121990485966928>"
"DpnSauce","🇵🇷","advisor","","0","<:terry:641715693225639953>"
"drasi","🇺🇲","advisor","","2","<:duck_hunt2:617460256192200892>"
"G-Xtreme","🇺🇲","advisor","3rd Connecticut","9","<:pikachu8:617469846719954999>"
"Mohamed","🇺🇲","advisor","","0","<:donkey_kong:575804398631124993>"
"SoGoodPop","🇺🇲","advisor","4th New Mexico","20","<:wii_fit_trainer8:617474820921229321>","<:palutena:575804482387050560>","<:clouds:575804398496776192>"
"ANJELLOH","🇺🇲","member","","0","<:luigi:575804401130799130>","<:diddy_kong:575804398413021219>"
"Archon","🇺🇲","member","","0","<:king_dedede:575804399847211052>","<:mr_game_and_watch:575804481980071939>"
"Arjay","🇨🇦","member","2nd Durham","3","<:samus4:617472947103334502>","<:captain_falcon:575804398425604116>"
"AXF","🇲🇽","member","","1","<:terry:641715693225639953>"
"Balltze","🇺🇲","member","10th South Florida","1","<:rob:575804744363409409>"
"BigBadada","🇺🇲","member","","4","<:ryu:575804745005006868>"
"Bluko","🇺🇲","member","5th SoVa","1","<:mega_man8:617467054248820766>"
"C.Kaleb","🇺🇲","member","8th Wisconsin","0","<:pac_man:575804482148106276>"
"Cabelob","🇺🇲","member","1st New Hampshire","0","<:rob:575804744363409409>"
"CAT","🇺🇲","member","","1","<:robin:575804744707211284>"
"ChewyHobo","🇺🇲","member","","16","<:morton:609627242066345994>"
"Coltman","🇺🇲","member","","6","<:snakes:575804746561093632>","<:kazuya:861697760163659806>"
"Crimson Arzuros","🇩🇪","member","","13","<:min_min:728013949865558046>","<:inkling:575804399549415424>"
"Dante","🇺🇲","member","","0","<:pit:575804744476393502>"
"de la O","🇲🇽","member","","0","<:banjo_and_kazooie:596831625765978131>"
"Dr Dirty Dave","🇺🇲","member","","3","<:richter:575804744510078976>"
"ErickB","🇵🇪","member","11th Peru","5","<:ice_climbers6:617461658104889364>"
"Erv","🇲🇽","member","","3","<:mario6:617466810236665872>"
"ExplodyPan","🇺🇲","member","","3","<:palutena6:617468832868597761>"
"Ferolyo","🇲🇽","member","1st Ensenada","6","<:zombie7:766121990485966928>"
"Flipperz","🇺🇲","member","2nd New Mexico","1","<:robin3:617471777358086197>","<:sora:900465845099200512>"
"GENO","🇺🇲","member","","4","<:banjo_and_kazooie5:620744651954978848>"
"Geo","🇺🇲","member","","2","<:richter:575804744510078976>","<:kazuya:861697760163659806>"
"ggentlemenn","🇮🇹","member","","0","<:ridley:575804744996487168>"
"Guilheww","🇲🇽","member","","1","<:kirby4:617465052886204473>"
"Gurg7","🇺🇲","member","","0","<:pac_man:575804482148106276>"
"Haunter","🇬🇹","member","","2","<:steve:766121990519914517>","<:ike7:617461924183146507>"
"HeroAwesome","🇺🇲","member","5th North Dakota","5","<:steve5:766121990439960588>"
"jimmychanga","🇺🇲","member","10th CenCal","1","<:falco6:617460772364222519>"
"JoyKong","🇬🇧","member","2nd Preston","0","<:donkey_kong:575804398631124993>"
"KarmaK","🇺🇲","member","","0","<:kazuya:861697760163659806>"
"Key","🇺🇲","member","","5","<:luigi:575804401130799130>","<:diddy_kong:575804398413021219>","<:ken:575804400195469331>"
